,link,marketcap,name,price,symbol,time
0,/currencies/bitcoin,285890350152,Bitcoin,15423.78,BTC,20201106145452
1,/currencies/ethereum,49998684954,Ethereum,441.23,ETH,20201106145452
2,/currencies/tether,16984120461,Tether,0.999896,USDT,20201106145452
3,/currencies/xrp,11638236101,XRP,0.257002,XRP,20201106145452
4,/currencies/bitcoin-cash,4735510152,Bitcoin Cash,255.08,BCH,20201106145452
5,/currencies/chainlink,4627056514,Chainlink,11.82,LINK,20201106145452
6,/currencies/binance-coin,4158184095,Binance Coin,28.79,BNB,20201106145452
7,/currencies/litecoin,4004397206,Litecoin,60.84,LTC,20201106145452
8,/currencies/polkadot-new,3839781728,Polkadot,4.50,DOT,20201106145452
9,/currencies/cardano,3373811914,Cardano,0.108439,ADA,20201106145452
10,/currencies/bitcoin-sv,3069029238,Bitcoin SV,165.33,BSV,20201106145452
11,/currencies/usd-coin,2853653726,USD Coin,1.00,USDC,20201106145452
12,/currencies/eos,2351241169,EOS,2.51,EOS,20201106145452
13,/currencies/monero,2113980833,Monero,119.10,XMR,20201106145452
14,/currencies/wrapped-bitcoin,1907643309,Wrapped Bitcoin,15457.68,WBTC,20201106145452
15,/currencies/tron,1850180185,TRON,0.025819,TRX,20201106145452
16,/currencies/stellar,1742211166,Stellar,0.083354,XLM,20201106145452
17,/currencies/crypto-com-coin,1661075906,Crypto.com Coin,0.078427,CRO,20201106145452
18,/currencies/tezos,1518126152,Tezos,2.03,XTZ,20201106145452
19,/currencies/unus-sed-leo,1279615055,UNUS SED LEO,1.28,LEO,20201106145452
20,/currencies/neo,1109051017,Neo,15.72,NEO,20201106145452
21,/currencies/nem,1060945833,NEM,0.117883,XEM,20201106145452
22,/currencies/cosmos,987543712,Cosmos,4.81,ATOM,20201106145452
23,/currencies/multi-collateral-dai,954504444,Dai,1.01,DAI,20201106145452
24,/currencies/filecoin,934385269,Filecoin,31.94,FIL,20201106145452
25,/currencies/huobi-token,776929562,Huobi Token,3.75,HT,20201106145452
26,/currencies/iota,727420444,IOTA,0.261706,MIOTA,20201106145452
27,/currencies/vechain,718756495,VeChain,0.011175,VET,20201106145452
28,/currencies/dash,680862147,Dash,69.47,DASH,20201106145452
29,/currencies/theta,679408351,THETA,0.679408,THETA,20201106145452
30,/currencies/binance-usd,640173696,Binance USD,1.00,BUSD,20201106145452
31,/currencies/zcash,623768381,Zcash,59.89,ZEC,20201106145452
32,/currencies/ethereum-classic,617390579,Ethereum Classic,5.31,ETC,20201106145452
33,/currencies/uniswap,547444270,Uniswap,2.55,UNI,20201106145452
34,/currencies/maker,537966311,Maker,536.27,MKR,20201106145452
35,/currencies/omg,443844152,OMG Network,3.16,OMG,20201106145452
36,/currencies/celsius,423057149,Celsius,1.77,CEL,20201106145452
37,/currencies/aave,415767427,Aave,36.69,AAVE,20201106145452
38,/currencies/uma,397112567,UMA,7.17,UMA,20201106145452
39,/currencies/compound,392211091,Compound,96.45,COMP,20201106145452
40,/currencies/waves,364530767,Waves,3.52,WAVES,20201106145452
41,/currencies/ontology,363552722,Ontology,0.468621,ONT,20201106145452
42,/currencies/dogecoin,348474428,Dogecoin,0.002744,DOGE,20201106145452
43,/currencies/synthetix-network-token,339352767,Synthetix Network Token,3.23,SNX,20201106145452
44,/currencies/ftx-token,336231440,FTX Token,3.56,FTT,20201106145452
45,/currencies/yearn-finance,331007762,yearn.finance,11045.48,YFI,20201106145452
46,/currencies/algorand,308661937,Algorand,0.277274,ALGO,20201106145452
47,/currencies/basic-attention-token,302240207,Basic Attention Token,0.203273,BAT,20201106145452
48,/currencies/bittorrent,291597892,BitTorrent,0.000295,BTT,20201106145452
49,/currencies/husd,284379844,HUSD,0.998663,HUSD,20201106145452
50,/currencies/hedgetrade,283862115,HedgeTrade,0.836780,HEDG,20201106145452
51,/currencies/digibyte,282604632,DigiByte,0.020598,DGB,20201106145452
52,/currencies/okb,280290764,OKB,4.67,OKB,20201106145452
53,/currencies/0x,272464495,0x,0.366246,ZRX,20201106145452
54,/currencies/kusama,271334498,Kusama,32.03,KSM,20201106145452
55,/currencies/trueusd,267424350,TrueUSD,0.998368,TUSD,20201106145452
56,/currencies/ren,264134210,Ren,0.298614,REN,20201106145452
57,/currencies/abbc-coin,248212727,ABBC Coin,0.346553,ABBC,20201106145452
58,/currencies/paxos-standard,244009943,Paxos Standard,0.996154,PAX,20201106145452
59,/currencies/zilliqa,207393915,Zilliqa,0.019556,ZIL,20201106145452
60,/currencies/energy-web-token,206375039,Energy Web Token,6.86,EWT,20201106145452
61,/currencies/ocean-protocol,204653676,Ocean Protocol,0.494301,OCEAN,20201106145452
62,/currencies/celo,200958836,Celo,1.61,CELO,20201106145452
63,/currencies/qtum,198328281,Qtum,2.04,QTUM,20201106145452
64,/currencies/icon,197465027,ICON,0.344656,ICX,20201106145452
65,/currencies/hedera-hashgraph,185146274,Hedera Hashgraph,0.030826,HBAR,20201106145452
66,/currencies/decred,183732093,Decred,15.04,DCR,20201106145452
67,/currencies/quant,165440780,Quant,13.70,QNT,20201106145452
68,/currencies/kyber-network,158986210,Kyber Network,0.801571,KNC,20201106145452
69,/currencies/loopring,150473712,Loopring,0.131339,LRC,20201106145452
70,/currencies/augur,145863830,Augur,13.26,REP,20201106145452
71,/currencies/ampleforth,144041576,Ampleforth,1.25,AMPL,20201106145452
72,/currencies/lisk,140761106,Lisk,1.11,LSK,20201106145452
73,/currencies/bitcoin-gold,133266016,Bitcoin Gold,7.61,BTG,20201106145452
74,/currencies/reserve-rights,128819630,Reserve Rights,0.013778,RSR,20201106145452
75,/currencies/the-midas-touch-gold,128002093,The Midas Touch Gold,0.020184,TMTG,20201106145452
76,/currencies/near-protocol,125142898,NEAR Protocol,0.715608,NEAR,20201106145452
77,/currencies/decentraland,125037632,Decentraland,0.084253,MANA,20201106145452
78,/currencies/aragon,123047444,Aragon,3.11,ANT,20201106145452
79,/currencies/siacoin,120235009,Siacoin,0.002672,SC,20201106145452
80,/currencies/zb-token,119628010,ZB Token,0.258215,ZB,20201106145452
81,/currencies/revain,119003552,Revain,0.010362,REV,20201106145452
82,/currencies/terra-luna,116488322,Terra,0.301682,LUNA,20201106145452
83,/currencies/enjin-coin,113033573,Enjin Coin,0.137322,ENJ,20201106145452
84,/currencies/blockstack,112345785,Blockstack,0.171220,STX,20201106145452
85,/currencies/elrond-egld,110777030,Elrond,8.08,EGLD,20201106145452
86,/currencies/cybervein,110741209,CyberVein,0.104433,CVT,20201106145452
87,/currencies/band-protocol,109403551,Band Protocol,5.34,BAND,20201106145452
88,/currencies/nxm,108811842,NXM,21.18,NXM,20201106145452
89,/currencies/nano,103888619,Nano,0.779662,NANO,20201106145452
